Name,Win Percentage
New York Mets,0.463
New York Yankees,0.506
San Diego Padres,0.506
Texas Rangers,0.556
Philadelphia Phillies,0.556
Los Angeles Dodgers,0.617
Houston Astros,0.556
Los Angeles Angels,0.451
Toronto Blue Jays,0.549
Atlanta Braves,0.642
Chicago Cubs,0.512
San Francisco Giants,0.488
Boston Red Sox,0.481
Colorado Rockies,0.364
Chicago White Sox,0.377
Minnesota Twins,0.537
St. Louis Cardinals,0.438
Seattle Mariners,0.543
Milwaukee Brewers,0.568
Detroit Tigers,0.481
Arizona Diamondbacks,0.519
Miami Marlins,0.519
Cincinnati Reds,0.506
Kansas City Royals,0.346
Washington Nationals,0.438
Cleveland Guardians,0.469
Tampa Bay Rays,0.611
Baltimore Orioles,0.623
Pittsburgh Pirates,0.469
Oakland Athletics,0.309