Name,WIN%
Milwaukee Bucks,0.707
Boston Celtics,0.695
Philadelphia 76ers,0.659
Cleveland Cavaliers,0.622
New York Knicks,0.573
Brooklyn Nets,0.549
Miami Heat,0.537
Atlanta Hawks,0.5
Toronto Raptors,0.5
Chicago Bulls,0.488
Indiana Pacers,0.427
Washington Wizards,0.427
Orlando Magic,0.415
Charlotte Hornets,0.329
Detroit Pistons,0.207
Denver Nuggets,0.646
Memphis Grizzlies,0.622
Sacramento Kings,0.585
Phoenix Suns,0.549
Los Angeles Clippers,0.537
Golden State Warriors,0.537
Los Angeles Lakers,0.524
Minnesota Timberwolves,0.512
New Orleans Pelicans,0.512
Oklahoma City Thunder,0.488
Dallas Mavericks,0.463
Utah Jazz,0.451
Portland Trail Blazers,0.402
Houston Rockets,0.268
San Antonio Spurs,0.268