Name,2022-23 Payroll
Tampa Bay Lightning,"105,854,447"
Vegas Golden Knights,"104,738,822"
Edmonton Oilers,"98,846,219"
Montreal Canadiens,"98,123,916"
New York Rangers,"97,487,521"
Carolina Hurricanes,"97,131,496"
New Jersey Devils,"96,729,337"
Calgary Flames,"95,374,728"
Florida Panthers,"95,308,355"
Boston Bruins,"94,130,413"
Dallas Stars,"94,053,586"
Colorado Avalanche,"89,631,153"
Pittsburgh Penguins,"89,525,944"
Philadelphia Flyers,"88,867,977"
Winnipeg Jets,"88,526,572"
Seattle Kraken,"88,208,132"
Vancouver Canucks,"85,870,127"
New York Islanders,"83,805,946"
Toronto Maple Leafs,"83,113,008"
Nashville Predators,"81,601,292"
Washington Capitals,"80,914,968"
St. Louis Blues,"78,642,484"
San Jose Sharks,"78,487,516"
Minnesota Wild,"77,910,240"
Anaheim Ducks,"77,394,905"
Los Angeles Kings,"76,672,354"
Buffalo Sabres,"75,632,267"
Ottawa Senators,"73,259,688"
Columbus Blue Jackets,"69,956,896"
Detroit Red Wings,"64,826,880"
Chicago Blackhawks,"60,870,280"
Arizona Coyotes,"55,331,912"