Team,GP,W,L,OTL,PTS
Boston Bruins,82,65,12,5,135
Carolina Hurricanes,82,52,21,9,113
New Jersey Devils,82,52,22,8,112
Toronto Maple Leafs,82,50,21,11,111
Vegas Golden Knights,82,51,22,9,111
Edmonton Oilers,82,50,23,9,109
Colorado Avalanche,82,51,24,7,109
Dallas Stars,82,47,21,14,108
New York Rangers,82,47,22,13,107
Los Angeles Kings,82,47,25,10,104
Minnesota Wild,82,46,25,11,103
Seattle Kraken,82,46,28,8,100
Tampa Bay Lightning,82,46,30,6,98
Winnipeg Jets,82,46,33,3,95
New York Islanders,82,42,31,9,93
Calgary Flames,82,38,27,17,93
Florida Panthers,82,42,32,8,92
Nashville Predators,82,42,32,8,92
Pittsburgh Penguins,82,40,31,11,91
Buffalo Sabres,82,42,33,7,91
Ottawa Senators,82,39,35,8,86
Vancouver Canucks,82,38,37,7,83
St. Louis Blues,82,37,38,7,81
Washington Capitals,82,35,37,10,80
Detroit Red Wings,82,35,37,10,80
Philadelphia Flyers,82,31,38,13,75
Arizona Coyotes,82,28,40,14,70
Montreal Canadiens,82,31,45,6,68
San Jose Sharks,82,22,44,16,60
Chicago Blackhawks,82,26,49,7,59
Columbus Blue Jackets,82,25,48,9,59
Anaheim Ducks,82,23,47,12,58